Company Name,Average Anual Invoice,Average Anual value,Avg. Days diff,Avg. Item/Invoice,Distinct Item,Distinct Month,Gross Value HC,Inv-Pay gap,No. of Invoice,No. of Order,Pending Amount,Company Type
Company 302,3,69186.3,34,1,3,4,138372.6,87.8,6,7,0,Private
Company 303,2.666666667,3099340.26,60.66666667,1.25,10,5,9298020.78,146.1666667,8,22,166212,Private
Company 304,2.666666667,26328.75,20.33333333,1.125,3,7,78986.25,89.71428571,8,11,0,Private
Company 305,1,3187.5,,1,1,1,3187.5,,1,1,,Private
Company 306,1,3258.44,8,1,1,1,3258.44,,1,1,0,Private
Company 307,1,5040,3,1,1,1,5040,,1,1,0,Private
Company 308,1,55544,,1,2,2,111088,144,2,2,,Private
Company 309,2,153735.44,,1,1,1,153735.44,7,2,2,,Private
Company 310,2,87924,17,1,4,6,263772,250,6,11,22440,Private
Company 311,3,129339.04,11,1,3,2,129339.04,42,3,5,0,Private
Company 312,1,2438,,1,1,1,2438,,1,1,,Private
Company 313,1.75,46402.35,,1,3,6,185609.4,200.6666667,7,9,,Private
Company 314,1,4892,,1,1,1,4892,,1,1,,Private
Company 315,1,853748.44,65,1,1,1,853748.44,,1,1,853749,Private
Company 316,1,6930,1,1,1,1,6930,,1,1,0,Private
Company 317,1,6776.1,,1,1,1,6776.1,,1,1,,Private
Company 318,1,2520,5,1,1,1,2520,,1,1,0,Private
Company 319,1,7560,3,1,1,1,7560,,1,3,0,Private
Company 320,9.333333333,1184748.5,54.66666667,1.142857143,7,12,3554245.5,55.55555556,28,27,0,Private
Company 321,3.25,29712.315,,2.076923077,4,5,118849.26,136.375,13,14,,Private
Company 322,1,21420,,1,1,1,21420,,1,1,,Private
Company 323,1,11138.4,,1,1,1,11138.4,,1,1,,Private
Company 324,1,24697.27,,6,6,1,24697.27,,1,1,,Private
Company 325,1,11025,1,1,1,1,11025,,1,1,0,Private
Company 326,1,11781,,1,1,1,11781,,1,1,,Private
Company 327,2,75311.485,48,3.25,4,3,150622.97,136,4,4,0,Public
Company 328,1,20352,1,1,1,1,20352,,1,1,0,Public
Company 329,1.5,56541.73,,1.666666667,5,3,113083.46,161,3,3,,Public
Company 330,1,8835.75,,1,1,1,8835.75,,1,2,,Public
Company 331,2,225108.25,26.33333333,3,16,6,900433,191.1428571,8,7,4500,Public
Company 332,6,47134.2,11.77777778,1,2,2,47134.2,24,6,7,0,Public
Company 333,11.8,1387956.206,19.31034483,1.305084746,19,12,6939781.03,33.16666667,59,45,1188862,Public
Company 334,1.333333333,22757.9,10,1.25,4,4,68273.7,302.3333333,4,9,0,Public
Company 335,1,41973,,2,2,1,41973,,1,1,,Public
Company 336,2,1078920.2,39,3,6,2,1078920.2,95,2,2,106500,Public
Company 337,1,14280,,1,1,1,14280,,1,2,,Public
Company 338,1,4725,,1,1,1,4725,,1,1,,Public
Company 339,1,36382.5,8,1,1,1,36382.5,,1,1,0,Public
Company 340,1,60338.25,5,1,1,1,60338.25,,1,1,0,Public
Company 341,1.6,54753.6,15,1,2,6,273768,186.7142857,8,13,0,Public
Company 342,3,121342.3333,33,2.111111111,6,6,364027,107.5714286,9,9,78250,Public
Company 343,1,684350.04,160,3,3,1,684350.04,,1,1,388200,Public
Company 344,1,8999.5,7,1,1,1,8999.5,,1,3,0,Public
Company 345,3.5,61460.1,4.714285714,1.285714286,6,4,122920.2,162.4,7,7,0,Public
Company 346,3.25,319787.75,13.46666667,2.153846154,18,6,1279151,89.66666667,13,16,301735,Public
Company 347,2,34960.5,39,1,2,1,34960.5,20,2,2,0,Public
Company 348,1,26375,,1,1,1,26375,,1,1,,Public
Company 349,1,112192.5,,4,4,1,112192.5,,1,3,,Public
Company 350,1,62065.5,8,3,3,1,62065.5,,1,1,0,Public
Company 351,4,33625.2,71.5,1.75,3,1,33625.2,1,4,4,0,Public
Company 352,4.666666667,482033.6067,31.19047619,1.214285714,12,9,1446100.82,39.81818182,14,25,1645,Public
Company 353,3,77838.5,2.666666667,1.333333333,3,3,77838.5,68.5,3,3,0,Public
Company 354,1,4958.5,4,1,1,1,4958.5,,1,1,0,Public
Company 355,1,19300,,1,1,1,19300,,1,1,,Public
Company 356,12.4,1285582.548,59.29268293,3.064516129,166,12,6427912.74,25.89090909,62,63,2051288,Public
Company 357,2,10164,,1,1,2,10164,39,2,2,,Public
Company 358,1,2637.5,,1,1,1,2637.5,,1,1,,Public
Company 359,1,0,,1,1,2,0,147,2,2,,Public
Company 360,1,25576.9375,14.85714286,1,1,4,102307.75,386,4,5,28302,Public
Company 361,4.5,282521.025,71.53846154,1.888888889,24,9,1130084.1,65.75,18,19,1574,Public
Company 362,3.5,1028667.373,88.6,1.214285714,14,5,4114669.49,62.53846154,14,21,1870191.01,Public
Company 363,32,9950760.292,99.836,1.49375,112,12,49753801.46,12.4017094,160,215,36221284.84,Public
Company 364,12,4750314.376,161.2191781,1.366666667,32,12,23751571.88,28.51020408,60,97,5272342.34,Public
Company 365,9,4915800.625,95.83928571,1.527777778,27,10,19663202.5,38.83333333,36,68,31437634.75,Public
Company 366,3.75,357218.9075,52.35714286,1.866666667,24,7,1428875.63,101.8333333,15,14,720230,Public
Company 367,10.4,2877842.268,66.85964912,1.057692308,10,10,14389211.34,38.46875,52,36,90906,Public
Company 368,3,10666952.24,85,3.416666667,31,5,42667808.97,189.5,12,21,0,Public
Company 369,9,1816655.973,8.916666667,1.25,18,11,7266623.89,38.03333333,36,76,1410528,Public
Company 370,2,92761.28,,1.5,3,1,92761.28,,2,2,,Public
Company 371,1,95115.39,78.4,3.666666667,11,3,285346.17,656,3,8,280525,Public
Company 372,9.6,6600209.916,103.8472222,1.3125,35,12,33001049.58,30.52272727,48,78,2578095,Public
Company 373,2.5,121069.78,47.42857143,1.5,15,6,484279.12,140.3333333,10,11,33352,Public
Company 374,2.75,79520.315,37.72727273,1.363636364,9,6,318081.26,128.2,11,11,0,Public
Company 375,1,11325.88,16.33333333,1,2,2,22651.76,455,2,13,0,Public
Company 376,1.333333333,82184,2.5,1.75,6,3,246552,365.6666667,4,4,0,Public
Company 377,1,38474.4,29,1,1,1,38474.4,,1,1,0,Public
Company 378,3.666666667,101510.5233,38,2.181818182,18,5,304531.57,193.5,11,11,0,Public
Company 379,1,13243.88,,6,1,1,13243.88,,1,1,,Public
Company 380,2.5,103876.155,67.2,1.4,6,3,207752.31,98.5,5,4,0,Public
Company 381,2.5,56321.32,70.2,2,9,1,112642.64,360,5,7,0,Public
Company 382,1,1370.79,,2,1,1,1370.79,,1,1,,Public
Company 383,1.5,77945.85,9,1,3,4,311783.4,249.2,6,7,225420,Public
Company 384,1,13269.105,,1,2,2,26538.21,226,2,2,,Public
Company 385,1,5196,,1,1,1,5196,,1,1,,Public
Company 386,2,281736.22,98,3.5,4,1,281736.22,,2,3,0,Public
Company 387,2,253151.8375,39.85714286,1,8,5,1012607.35,204.3333333,8,10,0,Public
Company 388,8.6,257604.32,21.8,1.372093023,33,10,1288021.6,40.77142857,43,56,8760,Public
Company 389,2.666666667,177405.1933,4,1.875,9,5,532215.58,170.8333333,8,10,0,Public
Company 390,1,2720,,1,1,1,2720,,1,1,,Public
Company 391,3,2503757.9,45.33333333,3.333333333,10,2,2503757.9,57.5,3,5,255894,Public
Company 392,2,8469.03,,1.5,3,1,8469.03,,2,2,,Public
Company 393,1.666666667,28041.66667,36,1,1,4,84125,325,5,3,23000,Public
Company 394,1,31500,1,1,1,1,31500,,1,1,0,Public
Company 395,1.666666667,19840.33333,1,1,2,3,59521,325.3333333,5,5,0,Public
Company 396,1,85470,,1,1,1,85470,,1,1,,Public
Company 397,2,451874.53,38,4.5,9,1,451874.53,,2,1,0,Public
Company 398,1,34572,,1,1,1,34572,,1,1,,Public
Company 399,1,50604.75,,4,4,1,50604.75,,1,1,,Public
Company 400,1,3616.6,,1,1,1,3616.6,,1,1,,Public
Company 401,1,2520,,1,1,1,2520,,1,1,,Public
Company 402,1,28305,2,1,1,1,28305,,1,1,0,Public
Company 403,4,293693.7,42,1.25,2,2,293693.7,66.5,4,4,0,Public
Company 404,1,7533.75,,1,1,1,7533.75,,1,1,,Public
Company 405,5.333333333,662284.2433,58.07692308,1.8125,14,8,1986852.73,58.91666667,16,16,0,Public
Company 406,3,327615.875,72.8,1.833333333,7,5,655231.75,164.75,6,9,0,Public
Company 407,1,17547.86,,8,1,1,17547.86,,1,1,,Public
Company 408,2,195524.7,,1,1,2,195524.7,67,2,3,,Public
Company 409,2,163266,,1.5,2,2,163266,18,2,2,,Public
Company 410,5,132378.44,40.76470588,1.24,12,10,661892.2,51.41666667,25,29,0,Public
Company 411,2.666666667,42924.53333,37.14285714,1.375,8,6,128773.6,104.4285714,8,8,0,Public
Company 412,2,23868,45,1,2,2,23868,239,2,3,0,Public
Company 413,2,13293,,1,1,2,13293,28,2,4,,Public
Company 414,1,35020,,1,1,1,35020,,1,1,,Public
Company 415,1,28458,9,1,1,1,28458,,1,1,0,Public
Company 416,1,2448,,1,1,1,2448,,1,1,,Public
Company 417,1.333333333,14630,34.16666667,1.25,1,3,43890,230,4,5,0,Public
Company 418,1,2445,,1,1,1,2445,,1,1,,Public
Company 419,1,31605,12,1,1,1,31605,,1,1,0,Public
Company 420,1,19803,,1,1,1,19803,,1,1,,Public
Company 421,3,68000.1,30,1,1,2,68000.1,24,3,3,142800,Private
